"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"106",2015-10-14,"2015-10",4,0,11.3708333333333,0.9125,15.8583333333333,0,2.475,4516.95833333333,4632.25,4550.41666666667,2325.375,-115.291666666667
"107",2015-10-15,"2015-10",5,0,9.75,0.908333333333333,15.1416666666667,0,3.19166666666667,3973.95833333333,4037.5,4784.29166666667,2515.91666666667,-63.5416666666665
"108",2015-10-16,"2015-10",6,1,10.85,0.975,14.7958333333333,0,3.5375,4270.20833333333,4259.29166666667,5233.25,2606.08333333333,10.9166666666661
"109",2015-10-17,"2015-10",7,1,4.59166666666667,1.09583333333333,10.9541666666667,0,7.37916666666667,10778,9858.33333333333,10740.8333333333,1868.625,919.666666666666
"110",2015-10-18,"2015-10",1,0,1.54166666666667,1.11666666666667,7.83333333333333,0,10.5,7249.70833333333,8581.04166666667,8531.83333333333,2165.83333333333,-1331.33333333333
"111",2015-10-19,"2015-10",2,0,1.575,0.716666666666667,7.8375,0,10.4958333333333,3760.58333333333,3784.91666666667,4915.25,1917.79166666667,-24.333333333333
"112",2015-10-20,"2015-10",3,0,4.7625,0.933333333333333,10.3333333333333,0,8,4195.04166666667,3321.33333333333,4939.5,2288,873.708333333333
"113",2015-10-21,"2015-10",4,0,6.47916666666667,0.8125,13.9375,0,4.39583333333333,4367.58333333333,4019.25,3993.91666666667,3134.875,348.333333333333
"114",2015-10-22,"2015-10",5,0,9.34583333333333,0.866666666666667,15.4375,0,2.89583333333334,4339.875,4281.625,4933.79166666667,3213.41666666667,58.25
"115",2015-10-23,"2015-10",6,1,12.4791666666667,0.866666666666667,17.4416666666667,0,0.891666666666669,4674.16666666667,4046.91666666667,4003.33333333333,3169.66666666667,627.25
"116",2015-10-24,"2015-10",7,1,13.4291666666667,0.770833333333333,16.0666666666667,0,2.26666666666667,10832.7083333333,9822.41666666667,5299.41666666667,2993.45833333333,1010.29166666667
"117",2015-10-25,"2015-10",1,0,15.15,0.779166666666667,17.2125,0,1.12083333333333,9355.625,8253.70833333333,5500.70833333333,3071,1101.91666666667
"118",2015-10-26,"2015-10",2,0,9.55833333333333,1.75,13.55,0,4.78333333333333,3984.41666666667,3905.83333333333,4281.04166666667,3273.75,78.583333333333
"119",2015-10-27,"2015-10",3,0,10.825,1.85833333333333,11.6333333333333,0,6.7,4005.08333333333,4192.375,5115.875,2660.75,-187.291666666667
"120",2015-10-28,"2015-10",4,0,18.7791666666667,1.6625,19.9208333333333,1.5875,0,4263.5,3909.04166666667,4827.33333333333,3123.83333333333,354.458333333333
"121",2015-10-29,"2015-10",5,0,14.5916666666667,0.883333333333333,16.0333333333333,0,2.3,4608.08333333333,3604.66666666667,4229.58333333333,3024.08333333333,1003.41666666667
"122",2015-10-30,"2015-10",6,1,7.24583333333333,0.858333333333333,11.9958333333333,0,6.3375,3865.33333333333,3785.25,4031.45833333333,3448.83333333333,80.0833333333335
"123",2015-10-31,"2015-10",7,1,8.76666666666667,0.820833333333333,11.4583333333333,0,6.875,8387.5,8638.5,8354.375,2552.375,-251
"124",2015-11-01,"2015-11",1,0,14.6416666666667,0.379166666666667,15.0375,0,3.29583333333333,8905.6,8848.36,8163.48,2943,57.2399999999998
"125",2015-11-02,"2015-11",2,0,16.475,1.54166666666667,16.6416666666667,0,1.69166666666667,4389.45833333333,4108.625,4738.875,3194.58333333333,280.833333333333
"126",2015-11-03,"2015-11",3,0,15.0833333333333,1.25,15.8291666666667,0,2.50416666666667,4078.54166666667,4184.16666666667,4751.66666666667,1929.20833333333,-105.625
